B04;B03;B02;B8A;feature_key
0.1109;0.1249;0.1122;0.1015;1
0.111;0.1247;0.112;0.1013;1
0.1112;0.1237;0.1112;0.1012;1
0.1115;0.122;0.1096;0.1086;1
0.1138;0.1251;0.113;0.1113;1
0.1183;0.1317;0.1174;0.1121;1
0.1252;0.1411;0.1241;0.11;1
0.1233;0.1421;0.123;0.112;1
0.1144;0.1289;0.1143;0.1041;1
0.1141;0.1241;0.1114;0.1029;1
0.1129;0.1258;0.112;0.1019;1
0.1114;0.1256;0.1129;0.1011;1
0.1111;0.1251;0.1124;0.1014;1
0.1109;0.1246;0.1117;0.1018;1
0.11;0.1198;0.1101;0.1062;1
0.1103;0.1195;0.1083;0.1083;1
0.1163;0.1274;0.1135;0.112;1
0.1236;0.137;0.1225;0.1113;1
0.1144;0.1314;0.1154;0.1058;1
0.1117;0.1216;0.1107;0.103;1
0.112;0.1232;0.1115;0.1018;1
0.112;0.1243;0.1117;0.1007;1
0.1113;0.124;0.113;0.1015;1
0.1107;0.1242;0.112;0.1024;1
0.1102;0.1209;0.1106;0.1027;1
0.1098;0.1194;0.1095;0.103;1
0.1122;0.1227;0.1103;0.1094;1
0.1185;0.1308;0.1162;0.1098;1
0.1251;0.1386;0.1221;0.1107;1
0.1155;0.1337;0.1151;0.1059;1
0.113;0.1263;0.1127;0.1027;1
0.1117;0.1225;0.1105;0.1014;1
0.1115;0.1229;0.1113;0.1008;1
0.1111;0.1243;0.1126;0.1014;1
0.1108;0.1249;0.1122;0.1021;1
0.1104;0.1239;0.112;0.1018;1
0.11;0.1214;0.1102;0.1014;1
0.112;0.1241;0.1117;0.1022;1
0.1136;0.125;0.1118;0.1054;1
0.1194;0.1326;0.1176;0.1091;1
0.1132;0.1303;0.1142;0.106;1
0.112;0.1244;0.1122;0.1029;1
0.1109;0.1225;0.1109;0.101;1
0.1109;0.1234;0.1122;0.1014;1
0.111;0.1247;0.1135;0.1019;1
0.1111;0.1242;0.1117;0.1015;1
0.111;0.1245;0.1119;0.101;1
0.1114;0.1233;0.111;0.1013;1
0.1125;0.1256;0.1122;0.1027;1
0.1138;0.1247;0.1122;0.1063;1
0.1187;0.1317;0.1162;0.1104;1
0.1131;0.129;0.1139;0.1061;1
0.1126;0.128;0.1133;0.1045;1
0.111;0.1233;0.111;0.102;1
0.1109;0.123;0.1112;0.102;1
0.1109;0.1239;0.1123;0.1021;1
0.1105;0.1242;0.1125;0.1013;1
0.1112;0.1249;0.1127;0.1004;1
0.1115;0.1229;0.1113;0.1007;1
0.1114;0.121;0.11;0.1016;1
0.1132;0.124;0.1118;0.1055;1
0.1114;0.1209;0.1089;0.1113;1
0.114;0.1307;0.114;0.1052;1
0.1117;0.1264;0.1129;0.1035;1
0.1111;0.1241;0.1117;0.1029;1
0.1106;0.1238;0.1121;0.1023;1
0.111;0.124;0.1121;0.1011;1
0.1112;0.1241;0.1126;0.0999;1
0.112;0.1254;0.1124;0.1002;1
0.1113;0.123;0.1115;0.1006;1
0.1133;0.124;0.1117;0.1037;1
0.1115;0.1214;0.1086;0.1103;1
0.1142;0.1234;0.1094;0.1133;1
0.1192;0.1349;0.1174;0.1068;1
0.114;0.1313;0.1145;0.1038;1
0.1127;0.1252;0.113;0.1034;1
0.1109;0.1244;0.113;0.1026;1
0.1113;0.1246;0.1126;0.1012;1
0.1117;0.1239;0.1116;0.0998;1
0.1115;0.1244;0.1112;0.1004;1
0.1118;0.125;0.112;0.101;1
0.1117;0.1243;0.1116;0.1045;1
0.1141;0.124;0.1121;0.1139;1
0.1114;0.119;0.1081;0.1092;1
0.1141;0.13;0.1149;0.1045;1
0.1112;0.1241;0.112;0.1029;1
0.1117;0.1252;0.113;0.1013;1
0.112;0.1248;0.1123;0.0998;1
0.1114;0.1242;0.1118;0.1;1
0.111;0.125;0.1121;0.1002;1
0.1113;0.1243;0.112;0.1015;1
0.1117;0.1237;0.1113;0.1016;1
0.1112;0.1233;0.1111;0.104;1
0.1175;0.129;0.1135;0.1026;1
0.1124;0.1243;0.1127;0.1021;1
0.1121;0.1238;0.1127;0.1011;1
0.1123;0.1248;0.1119;0.1002;1
