B04,B03,B02,B8A,label
0.0235,0.0396,0.0201,0.3633,2
0.0361,0.0538,0.0294,0.4068,2
0.0379,0.0502,0.0298,0.3767,2
0.0282,0.0405,0.024,0.3653,2
0.0205,0.0349,0.0187,0.3634,2
0.0201,0.0341,0.0181,0.3634,2
0.0217,0.0345,0.0187,0.3467,2
0.0403,0.0502,0.0302,0.3358,2
0.0514,0.0581,0.0358,0.3337,2
0.0266,0.0406,0.0227,0.3344,2
0.0241,0.037,0.021,0.3113,2
0.0226,0.0391,0.0211,0.3664,2
0.0203,0.038,0.0193,0.3946,2
0.0228,0.0412,0.0221,0.3769,2
0.0221,0.0396,0.0206,0.3536,2
0.0238,0.0399,0.0221,0.3416,2
0.0273,0.0409,0.0237,0.3639,2
0.0208,0.0354,0.0192,0.3639,2
0.0199,0.0358,0.0188,0.3697,2
0.0287,0.0482,0.0244,0.4451,2
0.0324,0.0535,0.0266,0.4958,2
0.0228,0.0428,0.021,0.4399,2
0.0205,0.034,0.0183,0.3568,2
0.0197,0.0339,0.0176,0.3663,2
0.0199,0.0351,0.0172,0.3661,2
0.0303,0.0505,0.0248,0.4631,2
0.0195,0.0362,0.0177,0.4099,2
0.0198,0.0353,0.0173,0.3763,2
0.02,0.0344,0.0176,0.3519,2
0.0207,0.0352,0.0193,0.354,2
0.0194,0.0348,0.0183,0.3549,2
0.0191,0.0344,0.0174,0.3679,2
0.0187,0.0335,0.0179,0.3585,2
0.022,0.0375,0.0203,0.3431,2
0.0378,0.0504,0.0307,0.3262,2
0.0228,0.0378,0.0194,0.342,2
0.0218,0.0355,0.0183,0.3378,2
0.0213,0.0356,0.0181,0.3475,2
0.0208,0.0346,0.0181,0.3491,2
0.0202,0.035,0.0185,0.356,2
0.0196,0.0346,0.0187,0.3638,2
0.0222,0.0373,0.0202,0.3545,2
0.0213,0.036,0.0188,0.351,2
0.0214,0.0361,0.0187,0.3643,2
0.0211,0.0371,0.019,0.3737,2
0.0312,0.0456,0.0253,0.3771,2
0.039,0.0505,0.0304,0.3748,2
0.0326,0.0434,0.026,0.362,2
0.0213,0.0355,0.0191,0.3453,2
0.0229,0.0377,0.02,0.3457,2
0.0227,0.0369,0.02,0.346,2
0.0232,0.0371,0.0199,0.359,2
0.0265,0.0433,0.0237,0.3644,2
0.0222,0.0399,0.0199,0.3748,2
0.0236,0.041,0.0229,0.3504,2
0.0238,0.0413,0.0227,0.3509,2
0.0317,0.0446,0.0258,0.3459,2
0.0292,0.0416,0.0237,0.3466,2
0.0215,0.0361,0.0191,0.3592,2
0.0209,0.0352,0.0185,0.3617,2
0.0204,0.0352,0.0188,0.3674,2
0.0212,0.0371,0.0184,0.3875,2
0.0346,0.0552,0.0274,0.4932,2
0.0264,0.0485,0.0233,0.4775,2
0.023,0.0382,0.0204,0.371,2
0.0216,0.0356,0.0191,0.3614,2
0.0257,0.0429,0.0218,0.4153,2
0.0265,0.0471,0.0228,0.418,2
0.0189,0.0353,0.0182,0.3834,2
0.0221,0.0372,0.0187,0.3857,2
0.0192,0.035,0.0181,0.382,2
0.0206,0.035,0.018,0.3635,2
0.0207,0.0363,0.0184,0.3603,2
0.0215,0.0358,0.0185,0.3567,2
0.0212,0.0346,0.0184,0.3455,2
0.0209,0.0353,0.0189,0.3487,2
0.0195,0.0356,0.0178,0.3644,2
0.038,0.0515,0.0319,0.3394,2
0.0241,0.0387,0.0203,0.3351,2
0.0219,0.0356,0.0187,0.3416,2
0.0206,0.0344,0.0182,0.3641,2
0.0193,0.034,0.0175,0.3591,2
0.0194,0.0363,0.0187,0.3786,2
0.0196,0.0356,0.0179,0.3718,2
0.0185,0.0349,0.0174,0.3683,2
0.02,0.035,0.0187,0.3554,2
0.0208,0.0353,0.0188,0.3536,2
0.0212,0.0358,0.0188,0.3535,2
0.0226,0.0364,0.02,0.3475,2
0.0227,0.0367,0.0197,0.3547,2
0.0212,0.0366,0.0196,0.3662,2
0.021,0.0368,0.0191,0.3683,2
0.0198,0.0362,0.0182,0.3825,2
0.0193,0.0362,0.0182,0.3961,2
0.0323,0.0466,0.0257,0.3965,2
0.0403,0.0511,0.0311,0.3951,2
0.029,0.042,0.0254,0.3619,2
0.0203,0.0339,0.0187,0.3525,2
0.0196,0.0338,0.0177,0.3694,2
0.027,0.04,0.0228,0.3566,2
0.0271,0.0431,0.024,0.3339,2
0.0248,0.0408,0.022,0.3514,2
0.0304,0.0454,0.0253,0.3758,2
0.0241,0.0383,0.0208,0.3572,2
0.0212,0.0347,0.0188,0.363,2
0.021,0.0355,0.0193,0.3615,2
0.0197,0.0343,0.0186,0.3663,2
0.0207,0.0346,0.0184,0.3649,2
0.022,0.0365,0.0193,0.3623,2
0.0267,0.0458,0.0232,0.4332,2
0.036,0.0533,0.0289,0.4406,2
0.0277,0.0488,0.0239,0.4526,2
0.0276,0.0445,0.0229,0.3994,2
0.0235,0.0446,0.0219,0.4261,2
0.0211,0.0371,0.019,0.3664,2
0.0196,0.0357,0.018,0.3728,2
0.0217,0.0352,0.0183,0.3524,2
0.0207,0.0355,0.0182,0.375,2
0.0281,0.0401,0.0229,0.3588,2
0.038,0.0488,0.0302,0.3395,2
0.0352,0.0455,0.0282,0.3302,2
0.0365,0.0471,0.029,0.3225,2
0.0379,0.0481,0.0298,0.3213,2
0.0324,0.0439,0.0271,0.3395,2
0.0639,0.0716,0.0515,0.3226,2
0.0232,0.0369,0.0206,0.3356,2
0.0209,0.0351,0.0193,0.3422,2
0.0206,0.0339,0.0187,0.354,2
0.0203,0.0352,0.0185,0.3731,2
0.0199,0.0351,0.019,0.3561,2
0.0197,0.0345,0.0177,0.3591,2
0.0185,0.0333,0.0163,0.3804,2
0.0192,0.0352,0.0173,0.3854,2
0.0206,0.037,0.0191,0.3733,2
0.021,0.0344,0.0186,0.3508,2
0.0206,0.0343,0.0186,0.3589,2
0.0221,0.037,0.02,0.3547,2
0.0206,0.0346,0.019,0.3539,2
0.0209,0.0344,0.0183,0.3524,2
0.0212,0.0366,0.0193,0.3606,2
0.0205,0.0363,0.0184,0.3746,2
0.0204,0.0361,0.0192,0.3709,2
0.0215,0.0366,0.0198,0.3606,2
0.0197,0.0356,0.0192,0.3804,2
0.0203,0.0369,0.0193,0.3917,2
0.0204,0.0373,0.0191,0.4094,2
0.0203,0.037,0.0193,0.3926,2
0.0263,0.0408,0.0232,0.3686,2
0.0348,0.0469,0.0275,0.3734,2
0.0265,0.0394,0.0223,0.383,2
0.0212,0.036,0.0197,0.3736,2
0.0409,0.0519,0.0314,0.3618,2
0.0439,0.0603,0.0339,0.448,2
0.0318,0.0544,0.0264,0.4752,2
0.0228,0.0387,0.0202,0.3755,2
0.0212,0.0361,0.0196,0.3606,2
0.0204,0.0336,0.0182,0.3566,2
0.0198,0.0337,0.0184,0.3753,2
0.0222,0.0378,0.0198,0.3794,2
0.0241,0.0433,0.0219,0.4403,2
0.0218,0.0399,0.0195,0.3976,2
0.0216,0.0366,0.0193,0.3718,2
0.03,0.0461,0.0243,0.4146,2
0.0239,0.0434,0.0212,0.3935,2
0.0216,0.0354,0.0187,0.3378,2
0.0209,0.0361,0.0191,0.3705,2
0.1014,0.0953,0.0621,0.3437,2
0.0553,0.0608,0.0394,0.3181,2
0.04,0.0492,0.0308,0.3329,2
0.0426,0.0517,0.0321,0.3149,2
0.0229,0.0365,0.0195,0.3407,2
0.022,0.0354,0.0192,0.3452,2
0.021,0.0357,0.0192,0.3564,2
0.0201,0.0357,0.0182,0.3486,2
0.021,0.0357,0.0193,0.3527,2
0.0198,0.0351,0.0185,0.3621,2
0.0211,0.0359,0.0195,0.3424,2
0.0204,0.0341,0.0187,0.3428,2
0.0217,0.034,0.0194,0.3384,2
0.0228,0.0354,0.0196,0.331,2
0.0213,0.0359,0.0195,0.3508,2
0.0199,0.0352,0.0182,0.3679,2
0.019,0.0353,0.0171,0.3836,2
0.0196,0.0361,0.017,0.3886,2
0.0194,0.0363,0.0176,0.3883,2
0.0204,0.0341,0.0182,0.3637,2
0.0213,0.0364,0.0188,0.3528,2
0.0324,0.0441,0.0249,0.3519,2
0.0315,0.0425,0.0247,0.3555,2
0.0209,0.0345,0.019,0.3606,2
0.0223,0.0355,0.0191,0.3485,2
0.022,0.0361,0.0197,0.3451,2
0.0209,0.0359,0.0187,0.3619,2
0.0198,0.0364,0.0183,0.3772,2
0.02,0.0355,0.018,0.3834,2
0.0203,0.036,0.0191,0.3725,2
0.0218,0.0381,0.0202,0.3732,2
0.0217,0.0365,0.0197,0.3843,2
0.0207,0.0361,0.0191,0.3739,2
0.0196,0.035,0.0189,0.3832,2
0.0204,0.0366,0.0191,0.3796,2
0.0202,0.0352,0.0192,0.377,2
0.0204,0.0358,0.0187,0.4132,2
0.0235,0.0401,0.0209,0.4143,2
0.0359,0.0474,0.0278,0.3714,2
0.0413,0.0605,0.0329,0.4598,2
0.0251,0.0519,0.0234,0.4847,2
0.0278,0.0511,0.0237,0.4732,2
0.0317,0.0504,0.0254,0.4428,2
0.0227,0.0394,0.0206,0.3776,2
0.0208,0.0352,0.0191,0.3658,2
0.0235,0.0393,0.0206,0.3978,2
0.0227,0.0431,0.0209,0.4421,2
0.0209,0.0376,0.0191,0.3808,2
0.0202,0.0354,0.0186,0.3647,2
0.0218,0.037,0.0196,0.3591,2
0.0258,0.0426,0.022,0.3795,2
0.0248,0.0392,0.0213,0.3571,2
0.0219,0.0353,0.0192,0.3496,2
0.0325,0.0425,0.0241,0.3454,2
0.0952,0.0876,0.0604,0.313,2
0.0258,0.0387,0.0207,0.347,2
0.0213,0.0363,0.0196,0.3563,2
0.0219,0.0354,0.0189,0.3483,2
0.0205,0.0352,0.0186,0.3534,2
0.0212,0.0337,0.0185,0.3378,2
0.0211,0.0343,0.0197,0.3352,2
0.0211,0.0349,0.0189,0.3456,2
0.0202,0.0347,0.0189,0.3522,2
0.0198,0.0364,0.0184,0.3725,2
0.0205,0.0349,0.0187,0.3552,2
0.0204,0.0354,0.0186,0.3428,2
0.0207,0.0347,0.0181,0.3486,2
0.0206,0.0345,0.0188,0.3459,2
0.0204,0.0351,0.0185,0.3564,2
0.0202,0.034,0.0173,0.3637,2
0.0196,0.0353,0.0178,0.3762,2
0.0201,0.037,0.018,0.3926,2
0.0192,0.035,0.0173,0.3772,2
0.0219,0.0374,0.0189,0.3842,2
0.0343,0.0471,0.026,0.3683,2
0.0387,0.0533,0.0299,0.3705,2
0.0282,0.0436,0.0231,0.3782,2
0.0248,0.0382,0.0209,0.3602,2
0.0252,0.0395,0.0217,0.3635,2
0.0235,0.0377,0.0201,0.3516,2
0.0221,0.0353,0.0191,0.3539,2
0.0208,0.0367,0.0187,0.3723,2
0.0207,0.0366,0.0187,0.3822,2
0.0202,0.0367,0.0194,0.3853,2
0.0253,0.0408,0.0221,0.3807,2
0.03,0.047,0.0248,0.389,2
0.0227,0.0372,0.0206,0.3566,2
0.0206,0.0377,0.0197,0.3858,2
0.0197,0.0369,0.0191,0.3878,2
0.0201,0.0353,0.0193,0.383,2
0.0203,0.0378,0.0196,0.4035,2
0.0238,0.0388,0.0204,0.3841,2
0.0207,0.035,0.0189,0.3709,2
0.0233,0.0395,0.0204,0.3891,2
0.0257,0.0488,0.023,0.4606,2
0.0235,0.046,0.0214,0.4385,2
0.0244,0.0416,0.0214,0.3905,2
0.0274,0.0464,0.0237,0.4282,2
0.025,0.0425,0.0219,0.4151,2
0.0219,0.0382,0.0197,0.406,2
0.0197,0.0333,0.0178,0.3644,2
0.0207,0.0353,0.019,0.3717,2
0.0205,0.0347,0.0186,0.3671,2
0.0227,0.0415,0.0211,0.4145,2
0.0229,0.0424,0.021,0.4204,2
0.0227,0.0375,0.02,0.3567,2
0.0215,0.0374,0.0193,0.3559,2
0.0314,0.0447,0.0256,0.3431,2
0.0242,0.0388,0.0209,0.3552,2
0.025,0.0419,0.0214,0.3635,2
0.0236,0.0383,0.02,0.366,2
0.0217,0.0356,0.019,0.3482,2
0.0209,0.0361,0.0186,0.3587,2
0.0208,0.0346,0.0181,0.3437,2
0.021,0.0354,0.0191,0.3423,2
0.0216,0.0371,0.0194,0.3651,2
0.0205,0.0345,0.0186,0.3601,2
0.0212,0.0371,0.0185,0.3808,2
0.0254,0.0417,0.0222,0.3838,2
0.0249,0.0408,0.022,0.3693,2
0.031,0.0461,0.0246,0.375,2
0.0254,0.0468,0.0229,0.4273,2
0.0218,0.0411,0.0207,0.4086,2
0.0225,0.0377,0.0197,0.3674,2
0.0201,0.0361,0.0189,0.3807,2
0.0192,0.0362,0.0177,0.3699,2
0.026,0.0388,0.0214,0.3583,2
0.041,0.049,0.0295,0.3299,2
0.0281,0.0413,0.0225,0.3343,2
0.0231,0.0419,0.0213,0.3861,2
0.0231,0.043,0.0215,0.409,2
0.0287,0.0467,0.0236,0.4127,2
0.025,0.0485,0.0222,0.4693,2
0.0236,0.043,0.0208,0.4384,2
0.0224,0.0372,0.0202,0.3558,2
0.0227,0.0372,0.0191,0.358,2
0.0216,0.0373,0.0192,0.3772,2
0.0299,0.0453,0.0236,0.3855,2
0.0295,0.0474,0.0238,0.3936,2
0.021,0.0364,0.0191,0.3509,2
0.0213,0.0373,0.0195,0.363,2
0.0221,0.0374,0.0193,0.3851,2
0.0209,0.0362,0.0192,0.3886,2
0.0262,0.0388,0.0215,0.3716,2
0.034,0.0449,0.0248,0.3595,2
0.0214,0.0356,0.019,0.3689,2
0.0197,0.035,0.0187,0.3748,2
0.0208,0.0361,0.019,0.368,2
0.0225,0.037,0.0202,0.3634,2
0.0216,0.037,0.0191,0.3637,2
0.0202,0.0355,0.0191,0.3588,2
0.0241,0.0411,0.0214,0.3876,2
0.0206,0.0379,0.019,0.3928,2
0.0212,0.0348,0.0187,0.3636,2
0.021,0.0351,0.0187,0.3641,2
0.0224,0.0376,0.0202,0.3819,2
0.0228,0.0432,0.0213,0.4517,2
0.0226,0.0418,0.0201,0.4021,2
0.0219,0.0349,0.0185,0.3474,2
0.0217,0.0349,0.0188,0.3403,2
0.0216,0.0364,0.019,0.3658,2
0.0263,0.0398,0.0237,0.3329,2
0.0218,0.0386,0.0195,0.3625,2
0.0214,0.039,0.0189,0.3788,2
0.0246,0.0415,0.021,0.3639,2
0.0215,0.0346,0.0186,0.345,2
0.0219,0.0365,0.0194,0.3361,2
0.0217,0.0355,0.0198,0.3417,2
0.021,0.0359,0.0195,0.3547,2
0.0209,0.0382,0.02,0.3582,2
0.0209,0.0365,0.0194,0.3626,2
0.0239,0.0433,0.0207,0.4048,2
0.0265,0.0496,0.0235,0.4331,2
0.0303,0.0507,0.0247,0.4118,2
0.0347,0.0514,0.0266,0.3951,2
0.0323,0.0471,0.0258,0.368,2
0.0212,0.0353,0.019,0.3612,2
0.0188,0.0346,0.0177,0.38,2
0.0194,0.0358,0.0184,0.3828,2
0.024,0.0374,0.0202,0.3656,2
0.0344,0.045,0.0254,0.333,2
0.0225,0.0362,0.0194,0.3629,2
0.0216,0.0373,0.0195,0.3463,2
0.0218,0.0377,0.0198,0.3586,2
0.0222,0.0413,0.0204,0.3971,2
0.022,0.0408,0.0201,0.3941,2
0.0287,0.0454,0.0234,0.3956,2
0.0258,0.0495,0.0239,0.4516,2
0.0236,0.0413,0.0211,0.3899,2
0.0243,0.0386,0.0207,0.3634,2
0.044,0.0545,0.033,0.3674,2
0.0349,0.0492,0.0267,0.3565,2
0.0211,0.0347,0.0192,0.3551,2
0.0203,0.035,0.0184,0.3577,2
0.0207,0.0363,0.0195,0.3569,2
0.0218,0.0366,0.0197,0.3561,2
0.0266,0.0397,0.0218,0.3642,2
0.0236,0.0351,0.0197,0.3382,2
0.0217,0.0351,0.02,0.3421,2
0.0207,0.0343,0.0191,0.3682,2
0.0208,0.0352,0.019,0.3623,2
0.0208,0.0361,0.0193,0.3605,2
0.0211,0.035,0.0192,0.3558,2
0.0209,0.0347,0.0187,0.3617,2
0.0223,0.0365,0.0195,0.3571,2
0.0225,0.0383,0.02,0.3822,2
0.0253,0.0387,0.0211,0.3553,2
0.021,0.035,0.0187,0.3485,2
0.0231,0.0395,0.0208,0.3659,2
0.0253,0.0464,0.0229,0.4041,2
0.0204,0.0361,0.019,0.3692,2
0.0213,0.035,0.0188,0.3474,2
0.0209,0.0338,0.0189,0.3414,2
0.022,0.0347,0.0186,0.337,2
0.0271,0.0402,0.0233,0.3521,2
0.0192,0.0343,0.0176,0.3646,2
0.0204,0.0351,0.0184,0.3668,2
0.0205,0.0347,0.0184,0.3617,2
0.023,0.0368,0.0202,0.3497,2
0.0244,0.0378,0.0208,0.3492,2
0.022,0.0347,0.0194,0.3412,2
0.0214,0.0367,0.0199,0.3644,2
0.0209,0.0385,0.02,0.3698,2
0.0185,0.0341,0.0177,0.3656,2
0.021,0.0361,0.0194,0.3585,2
0.023,0.0375,0.02,0.359,2
0.0285,0.0494,0.0245,0.4122,2
0.0348,0.0498,0.0267,0.386,2
0.0344,0.0503,0.0268,0.4142,2
0.0286,0.0446,0.0239,0.4077,2
0.0235,0.0375,0.0204,0.3609,2
0.0193,0.035,0.0181,0.3714,2
0.0276,0.0423,0.0223,0.3794,2
0.0267,0.0397,0.0214,0.3527,2
0.0204,0.0372,0.0186,0.3814,2
0.0204,0.0372,0.0187,0.3937,2
0.0214,0.0358,0.0193,0.375,2
0.0229,0.0378,0.0201,0.3543,2
0.0222,0.039,0.0206,0.3538,2
0.0216,0.0356,0.0192,0.3461,2
0.022,0.0367,0.0198,0.357,2
0.0267,0.0481,0.024,0.426,2
0.033,0.0538,0.0272,0.4394,2
0.0583,0.0596,0.0382,0.3444,2
0.028,0.0399,0.0222,0.3481,2
0.0213,0.0356,0.0189,0.3676,2
0.0205,0.0351,0.0188,0.368,2
0.0211,0.0354,0.0197,0.358,2
0.0216,0.0359,0.0191,0.3531,2
0.0229,0.0365,0.0196,0.3554,2
0.0219,0.0358,0.0195,0.353,2
0.0214,0.0347,0.0191,0.3458,2
0.0207,0.0345,0.0196,0.345,2
0.0215,0.0346,0.0187,0.3545,2
0.0216,0.0354,0.0184,0.3677,2
0.0214,0.0345,0.0188,0.3599,2
0.0218,0.0357,0.0192,0.3562,2
0.024,0.0374,0.0205,0.3607,2
0.0226,0.0385,0.0202,0.4068,2
0.0222,0.0378,0.0203,0.3861,2
0.0234,0.0375,0.0206,0.3422,2
0.0269,0.0427,0.0224,0.3797,2
0.0237,0.0439,0.0217,0.3843,2
0.0214,0.0354,0.0192,0.3405,2
0.0208,0.0352,0.0186,0.3404,2
0.022,0.0358,0.0193,0.3425,2
0.0211,0.0354,0.0185,0.3472,2
0.0247,0.0404,0.021,0.3611,2
0.024,0.0381,0.0213,0.3515,2
0.0187,0.0334,0.0172,0.3712,2
0.02,0.0362,0.018,0.3701,2
0.0196,0.0351,0.0183,0.3678,2
0.0212,0.036,0.0191,0.3672,2
0.0222,0.0359,0.0194,0.3614,2
0.0208,0.0364,0.019,0.3791,2
0.0188,0.0356,0.0181,0.3999,2
0.019,0.0356,0.0183,0.3809,2
0.0198,0.0356,0.0179,0.3843,2
0.0198,0.035,0.0179,0.357,2
0.0204,0.0357,0.0186,0.3649,2
0.0214,0.0363,0.0193,0.3619,2
0.0225,0.0395,0.021,0.3618,2
0.0245,0.0459,0.0233,0.4374,2
0.0225,0.0445,0.022,0.4443,2
0.0294,0.0446,0.0244,0.3883,2
0.0295,0.0425,0.0236,0.3412,2
0.0231,0.0374,0.0196,0.3432,2
0.0207,0.0353,0.0182,0.3535,2
0.0203,0.0362,0.0187,0.3794,2
0.0195,0.0361,0.0183,0.3966,2
0.0198,0.0344,0.0184,0.3857,2
0.0201,0.0351,0.0184,0.3773,2
0.0213,0.037,0.0197,0.3693,2
0.0233,0.0383,0.0201,0.3534,2
0.0224,0.0362,0.0196,0.3557,2
0.0236,0.0394,0.0209,0.3717,2
0.0428,0.053,0.0307,0.3393,2
0.0236,0.0371,0.0202,0.3462,2
0.0208,0.0347,0.0193,0.3616,2
0.0205,0.0349,0.0191,0.3627,2
0.0194,0.0343,0.0183,0.3649,2
0.024,0.0381,0.0206,0.3647,2
0.0222,0.0357,0.0196,0.3549,2
0.0211,0.0346,0.0189,0.35,2
0.0206,0.0353,0.0194,0.3495,2
0.0242,0.0382,0.0209,0.3444,2
0.0212,0.0351,0.0194,0.3582,2
0.0199,0.0335,0.0187,0.3655,2
0.0211,0.0339,0.0186,0.3668,2
0.0215,0.0356,0.0193,0.357,2
0.0223,0.0374,0.0198,0.3731,2
0.0225,0.0395,0.0202,0.4045,2
0.0201,0.0371,0.0189,0.3997,2
0.0207,0.0359,0.0189,0.3629,2
0.0215,0.0355,0.0192,0.3548,2
0.0244,0.0389,0.0209,0.3581,2
0.0212,0.0355,0.0193,0.3454,2
0.0193,0.0345,0.0185,0.3462,2
0.0197,0.0352,0.0182,0.3508,2
0.0223,0.0362,0.0193,0.3469,2
0.0247,0.043,0.0218,0.3912,2
0.0204,0.035,0.0189,0.343,2
0.0192,0.0333,0.0172,0.3592,2
0.0191,0.0343,0.0176,0.3667,2
0.0197,0.0361,0.0179,0.3748,2
0.0194,0.0356,0.0177,0.3652,2
0.0197,0.0349,0.0176,0.3702,2
0.0197,0.0338,0.0183,0.3801,2
0.0198,0.0354,0.0185,0.3875,2
0.0196,0.0356,0.0186,0.3801,2
0.0192,0.0361,0.0183,0.404,2
0.0192,0.0343,0.0177,0.3933,2
0.0194,0.0359,0.0183,0.389,2
0.02,0.0362,0.0186,0.3831,2
0.0212,0.0367,0.0199,0.3666,2
0.0226,0.038,0.0204,0.3572,2
0.0234,0.04,0.0214,0.3765,2
0.0222,0.0397,0.0201,0.391,2
0.0235,0.0393,0.0215,0.3502,2
0.0243,0.0393,0.021,0.357,2
0.0205,0.0363,0.0183,0.3571,2
0.0207,0.0361,0.0182,0.3619,2
0.021,0.0352,0.0186,0.3558,2
0.0213,0.0362,0.0188,0.3705,2
0.0205,0.0362,0.0185,0.3845,2
0.0199,0.036,0.0184,0.3843,2
0.0216,0.0365,0.0191,0.3613,2
0.0217,0.0368,0.0193,0.3648,2
0.0213,0.0358,0.0189,0.3699,2
0.0236,0.0388,0.0199,0.3704,2
0.0273,0.0457,0.0228,0.4071,2
0.0219,0.0367,0.0195,0.3674,2
0.0211,0.0355,0.0195,0.3626,2
0.0209,0.0354,0.0187,0.3638,2
0.0212,0.0365,0.0191,0.3601,2
0.0203,0.037,0.0187,0.3637,2
0.0216,0.0364,0.0193,0.3472,2
0.0213,0.0366,0.0188,0.348,2
0.0207,0.0356,0.0194,0.3459,2
0.0225,0.0372,0.0209,0.3411,2
0.0245,0.0385,0.0212,0.3615,2
0.0208,0.0351,0.0194,0.356,2
0.0203,0.0341,0.0187,0.3636,2
0.024,0.0381,0.0209,0.3674,2
0.0232,0.0396,0.0203,0.4136,2
0.0209,0.036,0.0182,0.3743,2
0.0218,0.0371,0.0199,0.3675,2
0.0216,0.0358,0.0194,0.3551,2
0.0211,0.035,0.0191,0.3582,2
0.0219,0.0357,0.0189,0.377,2
0.0232,0.0382,0.0208,0.3712,2
0.021,0.0353,0.0191,0.3482,2
0.024,0.038,0.0204,0.3625,2
0.0296,0.0459,0.0251,0.4215,2
0.025,0.0452,0.0225,0.4207,2
0.207,0.1446,0.0982,0.352,3
0.2116,0.1477,0.1007,0.3561,3
0.0178,0.0327,0.0171,0.3519,2
0.0187,0.0334,0.0166,0.3666,2
0.0184,0.0339,0.0171,0.3678,2
0.0188,0.0354,0.0178,0.3764,2
0.0193,0.0362,0.0181,0.3795,2
0.0194,0.0362,0.0184,0.3854,2
0.0196,0.0363,0.0183,0.3969,2
0.02,0.0351,0.0186,0.3918,2
0.0205,0.0368,0.0192,0.3859,2
0.0195,0.0359,0.0183,0.3951,2
0.0186,0.0349,0.0175,0.3959,2
0.0185,0.0366,0.0181,0.4239,2
0.0184,0.0343,0.0175,0.3942,2
0.0193,0.0358,0.0193,0.3755,2
0.0203,0.036,0.0187,0.3682,2
0.0205,0.0368,0.0194,0.3734,2
0.0208,0.0358,0.0191,0.3706,2
0.0232,0.0392,0.0219,0.3517,2
0.022,0.0376,0.0201,0.352,2
0.0208,0.0367,0.0186,0.3678,2
0.0208,0.0357,0.0183,0.3648,2
0.0205,0.036,0.0185,0.3722,2
0.0208,0.0363,0.0194,0.3628,2
0.0205,0.0355,0.0187,0.3682,2
0.0203,0.0364,0.0184,0.3649,2
0.0202,0.0359,0.0185,0.3705,2
0.0208,0.0354,0.0186,0.3698,2
0.0193,0.0347,0.0183,0.3718,2
0.0208,0.0364,0.0187,0.3668,2
0.0269,0.0499,0.0234,0.4293,2
0.0306,0.0464,0.0245,0.3799,2
0.023,0.0369,0.02,0.3597,2
0.0238,0.0383,0.0209,0.3562,2
0.0217,0.0365,0.0192,0.3561,2
0.0208,0.0369,0.0205,0.3507,2
0.0211,0.0363,0.0189,0.3508,2
0.0221,0.0358,0.0194,0.3453,2
0.0221,0.0374,0.02,0.3663,2
0.0227,0.0417,0.0215,0.4154,2
0.0234,0.0416,0.0221,0.4049,2
0.0253,0.0383,0.0216,0.3393,2
0.0208,0.0345,0.0188,0.3409,2
0.0204,0.0347,0.0185,0.3618,2
0.0219,0.0348,0.0192,0.3541,2
0.0211,0.0358,0.0192,0.3618,2
0.0209,0.0362,0.0194,0.3601,2
0.0202,0.0351,0.0185,0.357,2
0.023,0.0376,0.02,0.3621,2
0.0213,0.0392,0.0203,0.3968,2
0.0223,0.0372,0.0194,0.3719,2
0.0245,0.0394,0.0213,0.3599,2
0.0257,0.0479,0.0226,0.4367,2
0.025,0.0457,0.0214,0.4609,2
0.0246,0.0396,0.0206,0.3898,2
0.1986,0.1451,0.0999,0.3725,3
0.2086,0.1483,0.1021,0.3862,3
0.2276,0.1575,0.1076,0.372,3
0.2271,0.1566,0.1065,0.3727,3
0.2353,0.1613,0.111,0.3742,3
0.235,0.1659,0.1131,0.3747,3
0.2384,0.1653,0.1122,0.397,3
0.0229,0.0384,0.0212,0.3379,2
0.0198,0.0362,0.0189,0.3572,2
0.0192,0.0342,0.0179,0.3656,2
0.0181,0.0327,0.0171,0.3627,2
0.0179,0.0341,0.0172,0.3826,2
0.0189,0.0343,0.0178,0.3977,2
0.019,0.0362,0.0181,0.3913,2
0.0192,0.0363,0.0184,0.393,2
0.0195,0.0356,0.0188,0.3994,2
0.0199,0.0359,0.0183,0.3921,2
0.0195,0.0359,0.0184,0.3974,2
0.0192,0.0368,0.0179,0.4075,2
0.0191,0.0371,0.0181,0.4014,2
0.0194,0.0354,0.0182,0.3976,2
0.02,0.0363,0.0187,0.3767,2
0.0195,0.0347,0.0182,0.3737,2
0.0201,0.0359,0.0192,0.3799,2
0.0208,0.0357,0.0185,0.3616,2
0.0224,0.0375,0.02,0.3519,2
0.0223,0.0385,0.0213,0.3547,2
0.0253,0.0409,0.0219,0.3773,2
0.0219,0.038,0.0205,0.3676,2
0.0205,0.0361,0.0195,0.3737,2
0.0203,0.0352,0.0191,0.3638,2
0.0203,0.0369,0.0192,0.3611,2
0.0204,0.0353,0.0187,0.3701,2
0.0202,0.0352,0.0187,0.376,2
0.0203,0.0349,0.0184,0.3754,2
0.0196,0.035,0.0182,0.3645,2
0.0206,0.0352,0.0183,0.3617,2
0.0209,0.0372,0.0191,0.3724,2
0.0293,0.0491,0.0245,0.3987,2
0.023,0.0379,0.0203,0.3572,2
0.0227,0.0379,0.0198,0.36,2
0.0231,0.0369,0.0196,0.3577,2
0.0215,0.0357,0.0196,0.351,2
0.0208,0.0354,0.0192,0.352,2
0.0218,0.0359,0.0188,0.3538,2
0.0243,0.0429,0.022,0.4191,2
0.022,0.0421,0.021,0.43,2
0.0204,0.0363,0.0194,0.3561,2
0.0228,0.0364,0.0205,0.3282,2
0.0225,0.0351,0.02,0.3332,2
