B04,B03,B02,B8A,label
0.1976,0.1369,0.0963,0.3433,3
0.1795,0.1217,0.085,0.3045,3
0.1583,0.1066,0.0751,0.2641,3
0.1675,0.1107,0.0778,0.2766,3
0.1528,0.1046,0.0731,0.2607,3
0.1494,0.1051,0.0736,0.2648,3
0.1823,0.1236,0.0881,0.2995,3
0.1889,0.1362,0.0922,0.3632,3
0.1946,0.1441,0.0954,0.3995,3
0.1689,0.115,0.081,0.292,3
0.1587,0.106,0.0746,0.2701,3
0.1607,0.1089,0.0768,0.2728,3
0.1596,0.1077,0.0756,0.2715,3
0.1614,0.1118,0.0793,0.2742,3
0.1619,0.1104,0.0776,0.2812,3
0.1712,0.1151,0.0808,0.2858,3
0.1917,0.1266,0.0888,0.3148,3
0.1746,0.127,0.0835,0.3692,3
0.1619,0.1108,0.0786,0.2741,3
0.1607,0.11,0.0777,0.2736,3
0.1518,0.1057,0.0751,0.2568,3
0.176,0.1197,0.0846,0.2981,3
0.1769,0.1183,0.0828,0.296,3
0.1853,0.1237,0.087,0.3025,3
0.1882,0.1243,0.0871,0.3096,3
0.1506,0.1045,0.0744,0.2646,3
0.1736,0.1193,0.0835,0.3014,3
0.1837,0.1316,0.0903,0.3411,3
0.1973,0.1334,0.0941,0.3256,3
0.2225,0.1502,0.1078,0.3533,3
0.2051,0.1364,0.0963,0.3353,3
0.1623,0.1115,0.0795,0.2741,3
0.1795,0.1238,0.0872,0.3052,3
0.201,0.1401,0.0961,0.3654,3
0.1648,0.1205,0.0831,0.336,3
0.2086,0.1411,0.1007,0.3365,3
0.2012,0.1357,0.0959,0.3315,3
0.1883,0.1261,0.0877,0.3196,3
0.2129,0.1471,0.1004,0.3913,3
0.1257,0.1087,0.0674,0.3759,3
0.1022,0.1313,0.1024,0.0744,1
0.0993,0.13,0.0994,0.0604,1
0.1206,0.1489,0.1173,0.0844,1
0.1107,0.1394,0.1097,0.0693,1
0.0844,0.1181,0.0871,0.0432,1
0.0686,0.1042,0.0738,0.026,1
0.0756,0.1095,0.0795,0.0341,1
0.1073,0.1374,0.1062,0.0673,1
0.1227,0.1527,0.1223,0.0814,1
0.0965,0.1251,0.0962,0.0535,1
0.103,0.1325,0.1031,0.0628,1
0.1046,0.136,0.106,0.0613,1
0.0979,0.132,0.1012,0.0562,1
0.0761,0.1109,0.0808,0.0323,1
0.0608,0.0968,0.0674,0.0152,1
0.0574,0.0943,0.0653,0.015,1
0.0633,0.0926,0.0638,0.0551,1
0.0966,0.1277,0.097,0.0608,1
0.0631,0.0932,0.0651,0.0216,1
0.0617,0.0911,0.0626,0.0233,1
0.0992,0.129,0.0996,0.0617,1
0.1007,0.1317,0.1008,0.0613,1
0.108,0.1373,0.1065,0.0657,1
0.1047,0.1374,0.1072,0.0636,1
0.0941,0.1278,0.097,0.0521,1
0.0746,0.1092,0.0795,0.031,1
0.0602,0.0938,0.0644,0.019,1
0.0573,0.0697,0.0449,0.1979,1
0.1065,0.1021,0.069,0.3026,1
0.0992,0.1276,0.0982,0.0614,1
0.0998,0.1286,0.0994,0.0594,1
0.0984,0.1279,0.0984,0.0582,1
0.1031,0.1336,0.1035,0.0621,1
0.1073,0.1381,0.1083,0.0647,1
0.0865,0.121,0.0907,0.0428,1
0.0632,0.0984,0.0691,0.0205,1
0.0989,0.1287,0.0996,0.0602,1
0.1015,0.1323,0.1027,0.0624,1
0.0969,0.128,0.0978,0.0564,1
0.0994,0.1285,0.0985,0.0581,1
0.1018,0.1328,0.1029,0.0593,1
0.0907,0.1228,0.0941,0.0462,1
0.1046,0.1342,0.1063,0.0654,1
0.1066,0.1362,0.1059,0.0673,1
0.1058,0.1351,0.1058,0.0612,1
0.0967,0.1269,0.0973,0.0556,1
0.0976,0.1274,0.0965,0.055,1
0.1014,0.1294,0.0995,0.062,1
0.1066,0.1342,0.1041,0.065,1
0.1055,0.1336,0.1045,0.0636,1
