band,y,x,spatial_ref,y,x,class,reflectance
B04,4868490.0,360930.0,0,4868490.0,360930.0,2,0.0484
B04,4868430.0,360870.0,0,4868430.0,360870.0,2,0.051
B04,4868430.0,360930.0,0,4868430.0,360930.0,2,0.0457
B04,4868430.0,360990.0,0,4868430.0,360990.0,2,0.0467
B04,4868370.0,360810.0,0,4868370.0,360810.0,2,0.0453
B04,4868370.0,360870.0,0,4868370.0,360870.0,2,0.0475
B04,4868370.0,360930.0,0,4868370.0,360930.0,2,0.0432
B04,4868370.0,360990.0,0,4868370.0,360990.0,2,0.0492
B04,4868310.0,360750.0,0,4868310.0,360750.0,2,0.0373
B04,4868310.0,360810.0,0,4868310.0,360810.0,2,0.0488
B04,4868310.0,360870.0,0,4868310.0,360870.0,2,0.0453
B04,4868310.0,360930.0,0,4868310.0,360930.0,2,0.0421
B04,4868310.0,360990.0,0,4868310.0,360990.0,2,0.0484
B04,4868250.0,360750.0,0,4868250.0,360750.0,2,0.0382
B04,4868250.0,360810.0,0,4868250.0,360810.0,2,0.0514
B04,4868250.0,360870.0,0,4868250.0,360870.0,2,0.0491
B04,4868250.0,360930.0,0,4868250.0,360930.0,2,0.0452
B04,4868250.0,360990.0,0,4868250.0,360990.0,2,0.0427
B04,4868250.0,361050.0,0,4868250.0,361050.0,2,0.0407
B04,4868190.0,360690.0,0,4868190.0,360690.0,2,0.0378
B04,4868190.0,360750.0,0,4868190.0,360750.0,2,0.0394
B04,4868190.0,360810.0,0,4868190.0,360810.0,2,0.0483
B04,4868190.0,360870.0,0,4868190.0,360870.0,2,0.0459
B04,4868190.0,360930.0,0,4868190.0,360930.0,2,0.0458
B04,4868190.0,360990.0,0,4868190.0,360990.0,2,0.0482
B04,4868190.0,361050.0,0,4868190.0,361050.0,2,0.0409
B04,4868130.0,360630.0,0,4868130.0,360630.0,2,0.045
B04,4868130.0,360690.0,0,4868130.0,360690.0,2,0.0429
B04,4868130.0,360750.0,0,4868130.0,360750.0,2,0.0425
B04,4868130.0,360810.0,0,4868130.0,360810.0,2,0.0468
B04,4868130.0,360870.0,0,4868130.0,360870.0,2,0.0463
B04,4868130.0,360930.0,0,4868130.0,360930.0,2,0.0442
B04,4868130.0,360990.0,0,4868130.0,360990.0,2,0.0437
B04,4868130.0,361050.0,0,4868130.0,361050.0,2,0.0458
B04,4868130.0,361110.0,0,4868130.0,361110.0,2,0.0424
B04,4868070.0,360630.0,0,4868070.0,360630.0,2,0.0443
B04,4868070.0,360690.0,0,4868070.0,360690.0,2,0.0459
B04,4868070.0,360750.0,0,4868070.0,360750.0,2,0.0433
B04,4868070.0,360810.0,0,4868070.0,360810.0,2,0.0475
B04,4868070.0,360870.0,0,4868070.0,360870.0,2,0.0536
B04,4868070.0,360930.0,0,4868070.0,360930.0,2,0.0468
B04,4868070.0,360990.0,0,4868070.0,360990.0,2,0.0504
B04,4868070.0,361050.0,0,4868070.0,361050.0,2,0.0469
B04,4868070.0,361110.0,0,4868070.0,361110.0,2,0.0394
B04,4868010.0,360570.0,0,4868010.0,360570.0,2,0.0461
B04,4868010.0,360630.0,0,4868010.0,360630.0,2,0.0422
B04,4868010.0,360690.0,0,4868010.0,360690.0,2,0.0475
